,Date,Time,User,Message,Year,Month,Day,Words,Word Length,Message Characters,Media
30,31-03-2018,9:02 AM, Cse Shailaja Cse,Happy birthday meghana....,2018,3,31,"['Happy', 'birthday', 'meghana', '']",2,23,FALSE
31,31-03-2018,9:03 AM, Cse Srujana,Happy birthday meghana🎂🍰🍰,2018,3,31,"['Happy', 'birthday', 'meghana', '']",2,22,FALSE
32,31-03-2018,9:03 AM, Cse Shwetha Diploma,Happy birthday Meghana,2018,3,31,"['Happy', 'birthday', 'Meghana']",1,19,FALSE
33,31-03-2018,9:03 AM, Cse Mounya,Happy birthday meghana,2018,3,31,"['Happy', 'birthday', 'meghana']",1,19,FALSE
34,31-03-2018,9:12 AM, Cse Sindhura Gdk,Happy birthday meghana,2018,3,31,"['Happy', 'birthday', 'meghana']",1,19,FALSE
35,31-03-2018,9:27 AM, Fri M. karthik,Happy bday meghana,2018,3,31,"['Happy', 'bday', 'meghana']",1,15,FALSE
36,31-03-2018,9:38 AM, Fri Saikirshna Bingi,Many more happy returns of the day maggi...🎂🎂🍰🍰,2018,3,31,"['Many', 'more', 'happy', 'returns', 'of', 'the', 'day', 'maggi', '']",7,44,FALSE
37,31-03-2018,9:39 AM, Fri Vishnu Prasad,Happy Birthday Meghana,2018,3,31,"['Happy', 'Birthday', 'Meghana']",1,19,FALSE
38,31-03-2018,10:01 AM, Cse Mounika Muniga,Hpy bday meghana,2018,3,31,"['Hpy', 'bday', 'meghana']",1,13,FALSE
39,31-03-2018,10:06 AM, Cse Spandhana,Happie bdayy Meghna..,2018,3,31,"['Happie', 'bdayy', 'Meghna', '']",2,18,FALSE
40,31-03-2018,10:52 AM, Cse Manasa,),2018,3,31,"['', '']",0,-2,FALSE
41,31-03-2018,11:36 AM, Fri Manoj Sirimla,Happy Bday Meghana🎁,2018,3,31,"['Happy', 'Bday', 'Meghana', '']",2,16,FALSE
42,31-03-2018,11:41 AM, Fri Ramnarayan Cse,Happy birthday meghana😃😃,2018,3,31,"['Happy', 'birthday', 'meghana', '']",2,21,FALSE
43,31-03-2018,PM, Cse Aruna Kumari,Hmm ol,2018,3,31,"['Hmm', 'ol']",0,3,FALSE
44,31-03-2018,PM, Fri Saikumar Jntu,Happy birthday maggy,2018,3,31,"['Happy', 'birthday', 'maggy']",1,17,FALSE
45,31-03-2018,PM, Fri Vikram Cse,Happy birthday meghana 🎂🎂,2018,3,31,"['Happy', 'birthday', 'meghana', '']",2,22,FALSE
46,31-03-2018,PM, Fri Srinivas Cse,<Media omitted>,2018,3,31,"['', 'Media', 'omitted', '']",2,12,TRUE
47,31-03-2018,PM, Cse Maheswari,talented....same as like uu ramagiri kila😜😜😜,2018,3,31,"['talented', 'same', 'as', 'like', 'uu', 'ramagiri', 'kila', '']",6,41,FALSE
48,31-03-2018,PM, Fri Jhanaki Ram,sorry ramagiri.....thittaku plzz,2018,3,31,"['sorry', 'ramagiri', 'thittaku', 'plzz']",2,29,FALSE
49,31-03-2018,PM, Fri Jhanaki Ram,<Media omitted>,2018,3,31,"['', 'Media', 'omitted', '']",2,12,TRUE
50,31-03-2018,PM, Cse Shailaja Cse,<Media omitted>,2018,3,31,"['', 'Media', 'omitted', '']",2,12,TRUE
51,31-03-2018,PM, Fri Manoj Sirimla,Happy birthday ra Prasad 🎂🎂🎂,2018,3,31,"['Happy', 'birthday', 'ra', 'Prasad', '']",3,25,FALSE
52,04-01-2018,12:30 AM, Fri Srinivas Cse,happy bday prasad😄🎁,2018,1,4,"['happy', 'bday', 'prasad', '']",2,16,FALSE
53,04-01-2018,2:08 AM, Fri Ramnarayan Cse,Happie birthday Prasad....,2018,1,4,"['Happie', 'birthday', 'Prasad', '']",2,23,FALSE
54,04-01-2018,3:11 AM, Abhinav Mississippi,Happy birthday raaa Prasad😍😍😍🎂🎂,2018,1,4,"['Happy', 'birthday', 'raaa', 'Prasad', '']",3,28,FALSE
55,04-01-2018,4:11 AM, Fri Santosh Cse,Hpy bday raa prasad...🎂🍰😊,2018,1,4,"['Hpy', 'bday', 'raa', 'prasad', '']",3,22,FALSE
56,04-01-2018,6:12 AM, Fri Vishnu Prasad,11 AM - Fri M. karthik added Fri Manoj K,2018,1,4,"['11', 'AM', 'Fri', 'M', 'karthik', 'added', 'Fri', 'Manoj', 'K']",7,37,FALSE
57,04-01-2018,10:11 AM, Fri Saikumar Jntu,Happy birthday ra prasad,2018,1,4,"['Happy', 'birthday', 'ra', 'prasad']",2,21,FALSE
58,04-01-2018,6:58 AM, Fri Goutham Cse,Many more happy returns of the day,2018,1,4,"['Many', 'more', 'happy', 'returns', 'of', 'the', 'day']",5,31,FALSE
59,04-01-2018,7:26 AM, Fri Goutham Cse,🎂🍰🥧🍻🍾,2018,1,4,"['', '']",0,2,FALSE
60,04-01-2018,7:28 AM, Cse Komal,Happy birthday Prasad.. God bless you,2018,1,4,"['Happy', 'birthday', 'Prasad', 'God', 'bless', 'you']",4,34,FALSE
61,04-01-2018,8:01 AM, Cse Deepa,Hpy bday prasad,2018,1,4,"['Hpy', 'bday', 'prasad']",1,12,FALSE
62,04-01-2018,8:15 AM, Fri M. karthik,Happy birthday ra prasad,2018,1,4,"['Happy', 'birthday', 'ra', 'prasad']",2,21,FALSE
63,04-01-2018,8:19 AM, Cse Ravali,Happy birthday prasad,2018,1,4,"['Happy', 'birthday', 'prasad']",1,18,FALSE
64,04-01-2018,8:35 AM, Cse Aruna Kumari,Happy birthday prasad😀,2018,1,4,"['Happy', 'birthday', 'prasad', '']",2,19,FALSE
65,04-01-2018,8:44 AM, Lalli,Happy birthday Prasad......🎂🎂🎂🎂,2018,1,4,"['Happy', 'birthday', 'Prasad', '']",2,28,FALSE
66,04-01-2018,8:45 AM, Fri Saikumar Jntu,<Media omitted>,2018,1,4,"['', 'Media', 'omitted', '']",2,12,TRUE
67,04-01-2018,8:49 AM, Cse Snigda,Happy birthday prasad,2018,1,4,"['Happy', 'birthday', 'prasad']",1,18,FALSE
68,04-01-2018,8:56 AM, Fri Saikirshna Bingi,Hot bdy prasad,2018,1,4,"['Hot', 'bdy', 'prasad']",1,11,FALSE
69,04-01-2018,8:56 AM, Cse Maheswari,Many more happy returns of the day😊Prasad🎂🎂🎂,2018,1,4,"['Many', 'more', 'happy', 'returns', 'of', 'the', 'day', 'Prasad', '']",7,41,FALSE
70,04-01-2018,8:56 AM, Fri Rajashaker Cse,Happy birthday Ra Prasad,2018,1,4,"['Happy', 'birthday', 'Ra', 'Prasad']",2,21,FALSE
71,04-01-2018,8:59 AM, Cse Manasa,Happie bday Prasad,2018,1,4,"['Happie', 'bday', 'Prasad']",1,15,FALSE
72,04-01-2018,9:14 AM, Cse Mounika Muniga,Happy Birthday Prasad,2018,1,4,"['Happy', 'Birthday', 'Prasad']",1,18,FALSE
73,04-01-2018,9:15 AM, Cse Spandhana,Hpy bday prasad,2018,1,4,"['Hpy', 'bday', 'prasad']",1,12,FALSE
74,04-01-2018,9:55 AM, Fri Manoj Sirimla,Appie bdaY ra ukkuu manshi of cse....😍😻,2018,1,4,"['Appie', 'bdaY', 'ra', 'ukkuu', 'manshi', 'of', 'cse', '']",6,36,FALSE
75,04-01-2018,10:05 AM, Cse Shirisha,Happy birthday prasad,2018,1,4,"['Happy', 'birthday', 'prasad']",1,18,FALSE
76,04-01-2018,10:35 AM, Krishnakanth_Yachareni,Happy birthday Ra prasad,2018,1,4,"['Happy', 'birthday', 'Ra', 'prasad']",2,21,FALSE
77,04-01-2018,10:57 AM, Cse Mounya,Happy birthday Prasad,2018,1,4,"['Happy', 'birthday', 'Prasad']",1,18,FALSE
78,04-01-2018,10:58 AM, Cse Shailaja Cse,Happy birthday Prasad,2018,1,4,"['Happy', 'birthday', 'Prasad']",1,18,FALSE
79,04-01-2018,11:25 AM, Fri Jhanaki Ram,<Media omitted>,2018,1,4,"['', 'Media', 'omitted', '']",2,12,TRUE
80,04-03-2018,PM, Fri A Sai2,Ipde lechava babu,2018,3,4,"['Ipde', 'lechava', 'babu']",1,14,FALSE
81,04-03-2018,PM, Fri Jhanaki Ram,evr babu nuvu...kothaga kanapadtunv,2018,3,4,"['evr', 'babu', 'nuvu', 'kothaga', 'kanapadtunv']",3,32,FALSE
82,04-03-2018,PM, Fri Vishnu Prasad,<Media omitted>,2018,3,4,"['', 'Media', 'omitted', '']",2,12,TRUE
83,04-03-2018,PM, Fri Jhanaki Ram,ori nee😥,2018,3,4,"['ori', 'nee', '']",1,5,FALSE
84,04-03-2018,PM, Fri Santosh Cse,🤣🤣🤣🤣🤣🤣,2018,3,4,"['', '']",0,3,FALSE
85,04-03-2018,PM, Fri A Sai2,<Media omitted>,2018,3,4,"['', 'Media', 'omitted', '']",2,12,TRUE
86,04-03-2018,PM, Cse Shwetha Diploma,<Media omitted>,2018,3,4,"['', 'Media', 'omitted', '']",2,12,TRUE
87,04-04-2018,PM, Fri Vikram Cse,<Media omitted>,2018,4,4,"['', 'Media', 'omitted', '']",2,12,TRUE
88,04-05-2018,9:24 AM, Fri A Sai2,16 AM - Fri Manoj Sirimla changed the group description,2018,5,4,"['16', 'AM', 'Fri', 'Manoj', 'Sirimla', 'changed', 'the', 'group', 'description']",7,52,FALSE
89,04-05-2018,10:16 AM, Fri Santosh Cse,Good night,2018,5,4,"['Good', 'night']",0,7,FALSE
90,04-05-2018,PM, Fri A Sai2,Good morning friends😊,2018,5,4,"['Good', 'morning', 'friends', '']",2,18,FALSE
91,04-06-2018,7:23 AM, Fri Santosh Cse,Morning ra santhoo,2018,6,4,"['Morning', 'ra', 'santhoo']",1,15,FALSE
92,04-06-2018,7:24 AM, Fri Saikirshna Bingi,😍,2018,6,4,"['', '']",0,-2,FALSE
93,04-06-2018,7:26 AM, Fri Saikirshna Bingi,Gud mrng Ra santhu,2018,6,4,"['Gud', 'mrng', 'Ra', 'santhu']",2,15,FALSE
94,04-06-2018,7:58 AM, Fri Saikirshna Bingi,Aavula haii raa,2018,6,4,"['Aavula', 'haii', 'raa']",1,12,FALSE
95,04-06-2018,7:58 AM, Fri Santosh Cse,Full busyga unnava,2018,6,4,"['Full', 'busyga', 'unnava']",1,15,FALSE
96,04-06-2018,7:58 AM, Fri Saikirshna Bingi,Vaadu eppudu busy nee,2018,6,4,"['Vaadu', 'eppudu', 'busy', 'nee']",2,18,FALSE
97,04-06-2018,7:58 AM, Fri A Sai2,Haaa avnu ra,2018,6,4,"['Haaa', 'avnu', 'ra']",1,9,FALSE
98,04-06-2018,7:59 AM, Fri A Sai2,Le intlo unna kali mama,2018,6,4,"['Le', 'intlo', 'unna', 'kali', 'mama']",3,20,FALSE
99,04-06-2018,8:06 AM, Fri Saikirshna Bingi,Arey busy em led bey,2018,6,4,"['Arey', 'busy', 'em', 'led', 'bey']",3,17,FALSE
100,04-06-2018,8:06 AM, Fri Jhanaki Ram,Nduk intlo unnav raa,2018,6,4,"['Nduk', 'intlo', 'unnav', 'raa']",2,17,FALSE
101,04-06-2018,8:23 AM, Fri Saikirshna Bingi,ninna pelli chupul unde vadiki.....ala intiki poindu leave petti,2018,6,4,"['ninna', 'pelli', 'chupul', 'unde', 'vadiki', 'ala', 'intiki', 'poindu', 'leave', 'petti']",8,61,FALSE
102,04-06-2018,8:30 AM, Fri Jhanaki Ram,Avnu antaa house kuda repairs cheyisthunnaru antaa,2018,6,4,"['Avnu', 'antaa', 'house', 'kuda', 'repairs', 'cheyisthunnaru', 'antaa']",5,47,FALSE
103,04-06-2018,8:31 AM, Fri Saikirshna Bingi,adhe iga...ee deepavali time lo pelli manodidhi,2018,6,4,"['adhe', 'iga', 'ee', 'deepavali', 'time', 'lo', 'pelli', 'manodidhi']",6,44,FALSE
104,04-06-2018,8:31 AM, Fri Jhanaki Ram,Dum dum motha moguthadhii ithey,2018,6,4,"['Dum', 'dum', 'motha', 'moguthadhii', 'ithey']",3,28,FALSE
105,04-06-2018,8:32 AM, Fri Saikirshna Bingi,katham thakkuva istunar anta ra....adhe badhapadtunad manodu,2018,6,4,"['katham', 'thakkuva', 'istunar', 'anta', 'ra', 'adhe', 'badhapadtunad', 'manodu']",6,57,FALSE
106,04-06-2018,8:33 AM, Fri Saikirshna Bingi,Veediki pillani ichudey yekkuva,2018,6,4,"['Veediki', 'pillani', 'ichudey', 'yekkuva']",2,28,FALSE
107,04-06-2018,8:33 AM, Fri Jhanaki Ram,Malli katnam kuda na raa,2018,6,4,"['Malli', 'katnam', 'kuda', 'na', 'raa']",3,21,FALSE
108,04-06-2018,8:33 AM, Fri Saikirshna Bingi,job chestunad kada...min untadhi,2018,6,4,"['job', 'chestunad', 'kada', 'min', 'untadhi']",3,29,FALSE
109,04-06-2018,8:34 AM, Fri Jhanaki Ram,Asalu job undaney oka reason tho pillani isthunnar,2018,6,4,"['Asalu', 'job', 'undaney', 'oka', 'reason', 'tho', 'pillani', 'isthunnar']",6,47,FALSE
110,04-06-2018,8:34 AM, Fri Saikirshna Bingi,ah....istundoch le manodiki kuda katnam o 20   30  thousand,2018,6,4,"['ah', 'istundoch', 'le', 'manodiki', 'kuda', 'katnam', 'o', '20', '30', 'thousand']",8,56,FALSE
111,04-06-2018,8:36 AM, Fri Manoj K,Anthey vaadi salary ki equal ga katnam vasthadhiu,2018,6,4,"['Anthey', 'vaadi', 'salary', 'ki', 'equal', 'ga', 'katnam', 'vasthadhiu']",6,46,FALSE
112,04-06-2018,8:49 AM, Fri Jhanaki Ram,Areyyy areyyy he won't take dowry raaa..,2018,6,4,"['Areyyy', 'areyyy', 'he', 'won', 't', 'take', 'dowry', 'raaa', '']",7,37,FALSE
113,04-06-2018,8:55 AM, Fri Manoj K,he wont take as dowry...he will take as gift😜😜😜,2018,6,4,"['he', 'wont', 'take', 'as', 'dowry', 'he', 'will', 'take', 'as', 'gift', '']",9,44,FALSE
114,04-06-2018,9:05 AM, Fri Jhanaki Ram,Vammo ela kuda untadaa,2018,6,4,"['Vammo', 'ela', 'kuda', 'untadaa']",2,19,FALSE
115,04-06-2018,9:05 AM, Fri Manoj K,sai aavula mari,2018,6,4,"['sai', 'aavula', 'mari']",1,12,FALSE
116,04-06-2018,9:06 AM, Fri Jhanaki Ram,Tisukodu raa,2018,6,4,"['Tisukodu', 'raa']",0,9,FALSE
117,04-06-2018,9:10 AM, Fri Manoj K,pakka thiskuntad raa 100%,2018,6,4,"['pakka', 'thiskuntad', 'raa', '100', '']",3,22,FALSE
118,04-06-2018,9:10 AM, Fri Jhanaki Ram,Sare chuddam,2018,6,4,"['Sare', 'chuddam']",0,9,FALSE
119,04-06-2018,9:12 AM, Fri Manoj K,bet kadtha nen,2018,6,4,"['bet', 'kadtha', 'nen']",1,11,FALSE
120,04-06-2018,9:13 AM, Fri Jhanaki Ram,NV anthalaa antunnav...,2018,6,4,"['NV', 'anthalaa', 'antunnav', '']",2,20,FALSE
121,04-06-2018,9:15 AM, Fri Manoj K,haha....led le...katnam a thiskuntad,2018,6,4,"['haha', 'led', 'le', 'katnam', 'a', 'thiskuntad']",4,33,FALSE
122,04-06-2018,9:16 AM, Fri Manoj K,Sare raa,2018,6,4,"['Sare', 'raa']",0,5,FALSE
123,04-06-2018,9:16 AM, Fri Jhanaki Ram,M chesthunnav,2018,6,4,"['M', 'chesthunnav']",0,10,FALSE
124,04-06-2018,9:16 AM, Fri Saikumar Jntu,<Media omitted>,2018,6,4,"['', 'Media', 'omitted', '']",2,12,TRUE
125,04-06-2018,9:18 AM, Fri Manoj K,Good morning,2018,6,4,"['Good', 'morning']",0,9,FALSE
126,04-06-2018,11:08 AM, Fri Saikumar Jntu,Good morning mr. Saikumar Gajula,2018,6,4,"['Good', 'morning', 'mr', 'Saikumar', 'Gajula']",3,29,FALSE
127,04-06-2018,11:09 AM, Fri Manoj K,Hey hey....chepu kokkula manchi Josh midunav kada,2018,6,4,"['Hey', 'hey', 'chepu', 'kokkula', 'manchi', 'Josh', 'midunav', 'kada']",6,46,FALSE
128,04-06-2018,11:10 AM, Fri Saikumar Jntu,Josh m undi raaa,2018,6,4,"['Josh', 'm', 'undi', 'raaa']",2,13,FALSE
129,04-06-2018,11:10 AM, Fri Manoj K,Edunav ra,2018,6,4,"['Edunav', 'ra']",0,6,FALSE
130,04-06-2018,11:10 AM, Fri Anil B Cse,College,2018,6,4,['College'],-1,4,FALSE
131,04-06-2018,11:27 AM, Fri Saikirshna Bingi,"22 PM - Fri Manoj Sirimla changed the subject from ""CSE"" to ""Cngrts khm😍😍""",2018,6,4,"['22', 'PM', 'Fri', 'Manoj', 'Sirimla', 'changed', 'the', 'subject', 'from', 'CSE', 'to', 'Cngrts', 'khm', '']",12,71,FALSE
132,04-07-2018,PM, Fri Jhanaki Ram,"23 PM - Fri M. karthik changed the subject from ""Cngrts khm😍😍"" to ""Cse""",2018,7,4,"['23', 'PM', 'Fri', 'M', 'karthik', 'changed', 'the', 'subject', 'from', 'Cngrts', 'khm', 'to', 'Cse', '']",12,68,FALSE
133,04-07-2018,PM, Fri Saikirshna Bingi,//youtu.be/YEG--MhFPuc,2018,7,4,"['', 'youtu', 'be', 'YEG', 'MhFPuc']",3,19,FALSE
134,04-08-2018,PM, Fri Manoj Sirimla,<Media omitted>,2018,8,4,"['', 'Media', 'omitted', '']",2,12,TRUE
135,04-09-2018,PM, Fri Manoj Sirimla,yenni sarlu pedthar ra vaari 🤦‍♂🤦‍♂ipdke net led ante,2018,9,4,"['yenni', 'sarlu', 'pedthar', 'ra', 'vaari', 'ipdke', 'net', 'led', 'ante']",7,50,FALSE
136,04-09-2018,PM, Fri Manoj Sirimla,Hehhe,2018,9,4,['Hehhe'],-1,2,FALSE
137,04-09-2018,PM, Fri Saikumar Jntu,<Media omitted>,2018,9,4,"['', 'Media', 'omitted', '']",2,12,TRUE
138,04-10-2018,PM, Fri Saikirshna Bingi,<Media omitted>,2018,10,4,"['', 'Media', 'omitted', '']",2,12,TRUE
139,04-10-2018,PM, Fri Saikirshna Bingi,<Media omitted>,2018,10,4,"['', 'Media', 'omitted', '']",2,12,TRUE
140,04-11-2018,12:08 AM, Fri Jhanaki Ram,💪💪💪💪👌🏻👌🏻👌🏻👌🏻,2018,11,4,"['', '']",0,9,FALSE
141,04-11-2018,12:08 AM, Fri Saikirshna Bingi,Haii frnds.....,2018,11,4,"['Haii', 'frnds', '']",1,12,FALSE
142,04-11-2018,PM, Fri Saikirshna Bingi,Antha baagenaa andaru,2018,11,4,"['Antha', 'baagenaa', 'andaru']",1,18,FALSE
143,04-11-2018,PM, Fri Saikirshna Bingi,hii thop singh🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,2018,11,4,"['hii', 'thop', 'singh', '']",2,29,FALSE
144,04-11-2018,PM, Fri Saikirshna Bingi,Arey Nuv thop raa,2018,11,4,"['Arey', 'Nuv', 'thop', 'raa']",2,14,FALSE
145,04-11-2018,PM, Fri Vishnu Prasad,<Media omitted>,2018,11,4,"['', 'Media', 'omitted', '']",2,12,TRUE
146,04-12-2018,10:17 AM, Fri Vishnu Prasad,😍😍😍,2018,12,4,"['', '']",0,0,FALSE
147,04-12-2018,10:17 AM, Fri Saikirshna Bingi,🤣🤣🤣🤣,2018,12,4,"['', '']",0,1,FALSE
148,04-12-2018,10:17 AM, Fri Saikirshna Bingi,Areyyy ooo havle...,2018,12,4,"['Areyyy', 'ooo', 'havle', '']",2,16,FALSE
149,04-12-2018,10:19 AM, Fri Vishnu Prasad,Text as it is echav... Chennai lo practice chesthunava raa...??,2018,12,4,"['Text', 'as', 'it', 'is', 'echav', 'Chennai', 'lo', 'practice', 'chesthunava', 'raa', '']",9,60,FALSE
150,04-12-2018,10:19 AM, Fri Vikram Cse,Nidhi Ra annaya adhi,2018,12,4,"['Nidhi', 'Ra', 'annaya', 'adhi']",2,17,FALSE
151,04-12-2018,10:21 AM, Fri Ramnarayan Cse,Vaasu movie lo Sunil gaadila unnav raa,2018,12,4,"['Vaasu', 'movie', 'lo', 'Sunil', 'gaadila', 'unnav', 'raa']",5,35,FALSE
152,04-12-2018,10:22 AM, Fri A Sai2,Nv ithe sunil ae raa...,2018,12,4,"['Nv', 'ithe', 'sunil', 'ae', 'raa', '']",4,20,FALSE
153,04-12-2018,10:24 AM, Fri Saikirshna Bingi,😝😝,2018,12,4,"['', '']",0,-1,FALSE
154,04-12-2018,10:26 AM, Fri Saikirshna Bingi,😍,2018,12,4,"['', '']",0,-2,FALSE
155,04-12-2018,10:40 AM, Fri Vishnu Prasad,Vishnu 😍😍😍 bagunav ra..Bangalore style ah😛,2018,12,4,"['Vishnu', 'bagunav', 'ra', 'Bangalore', 'style', 'ah', '']",5,39,FALSE
156,04-12-2018,PM, Fri Vishnu Prasad,Sai brathikey unnavara howle,2018,12,4,"['Sai', 'brathikey', 'unnavara', 'howle']",2,25,FALSE
157,04-12-2018,PM, Fri Saikirshna Bingi,Sachi 15 days aythundhii annad Jaani gaadu,2018,12,4,"['Sachi', '15', 'days', 'aythundhii', 'annad', 'Jaani', 'gaadu']",5,39,FALSE
158,04-12-2018,PM, Fri A Sai2,🤣🤣,2018,12,4,"['', '']",0,-1,FALSE
159,04-12-2018,PM, Fri A Sai2,Areyy mutton tini cgala rojulaindii raa,2018,12,4,"['Areyy', 'mutton', 'tini', 'cgala', 'rojulaindii', 'raa']",4,36,FALSE
160,04-12-2018,PM, Fri A Sai2,Kadha... But veedu pettanivvadu vala nanna nii kalalo vachi ina nanna assalu nuv em pettaku aney type veedu,2018,12,4,"['Kadha', 'But', 'veedu', 'pettanivvadu', 'vala', 'nanna', 'nii', 'kalalo', 'vachi', 'ina', 'nanna', 'assalu', 'nuv', 'em', 'pettaku', 'aney', 'type', 'veedu']",16,104,FALSE
161,04-12-2018,PM, Fri Saikirshna Bingi,😢😢😢,2018,12,4,"['', '']",0,0,FALSE
162,04-12-2018,PM, Fri A Sai2,😔😔😔😔😔,2018,12,4,"['', '']",0,2,FALSE
163,04-12-2018,PM, Fri Saikumar Jntu,🤦🏻‍♂🤦🏻‍♂🤦🏻‍♂🤦🏻‍♂,2018,12,4,"['', '']",0,13,FALSE
164,04-12-2018,PM, Fri Saikumar Jntu,Arey sachipo Ra best nuv,2018,12,4,"['Arey', 'sachipo', 'Ra', 'best', 'nuv']",3,21,FALSE
165,04-12-2018,PM, Fri Saikirshna Bingi,😩,2018,12,4,"['', '']",0,-2,FALSE
166,04-12-2018,PM, Fri A Sai2,<Media omitted>,2018,12,4,"['', 'Media', 'omitted', '']",2,12,TRUE
167,04-12-2018,PM, Fri Saikirshna Bingi,Jai bolo Vikram ji ki.....,2018,12,4,"['Jai', 'bolo', 'Vikram', 'ji', 'ki', '']",4,23,FALSE
